item_id,model_family,domain,complexity,gold_processing_level,title,off_direction,on_direction,off_direction_correct,on_direction_correct,direction_changed,off_chars,on_chars,char_change_on_minus_off,context_exclusive_token_count,context_exclusive_token_rate,context_exclusive_3gram_count,context_exclusive_3gram_rate,longest_context_exclusive_word_run,off_repetition_index,on_repetition_index,repetition_change_on_minus_off,context_exclusive_token_examples,off_output,on_output
SCB-P001,Base,교육활동,단순,안내,공개수업 시간 재안내,안내,안내,1,1,0,400,327,-73,1,0.017543859649122806,0,0.0,0,0.02941176470588236,0.018867924528301883,-0.010543840177580477,않음,"1. 핵심 요약: 공개수업 시간이 안내장과 다르게 변경되어 혼란이 발생했으며, 최종 공지는 10월 14일 9시 50분부터 2층 도서실에서 진행된다.  
2. 1차 처리 방향: 안내  
3. 확인할 사항: 없음  
4. 처리 계획: 우선 해당 공개수업의 최종 일정을 안내하고, 기존 안내장과의 차이점에 대해 설명하여 혼란을 해소한다. 개인정보는 포함되지 않으며, 학교에서 공식적으로 배포한 내용을 기준으로 대응한다.  
5. 회신 초안: 안녕하세요, 공개수업의 최종 일정은 10월 14일 9시 50분부터 2층 도서실에서 진행됩니다. 이전 안내장에 기재된 시간과 다소 차이가 있었으므로 혼란을 드려 죄송합니다. 정확한 정보는 최종 공지에 따르고 있으니, 해당 시간에 도서실로 방문하시면 됩니다. 불편을 드려 죄송합니다.","1. 핵심 요약: 공개수업 시간과 장소 변경에 대해 문의하며, 최종 공지는 10월 14일 10시 2층 도서실에서 9시 50분부터 입장 가능하다고 확인됨.  
2. 1차 처리 방향: 안내  
3. 확인할 사항: 없음  
4. 처리 계획: 우선으로 공개수업의 최종 일정을 안내하고, 추가 문의 시 담당자 연계하여 상세한 정보를 제공할 예정이며, 개인정보는 수집하지 않음.  
5. 회신 초안:  
공개수업의 최종 일정은 10월 14일 10시 2층 도서실에서 진행되며, 9시 50분부터 입장이 가능합니다.  
문의 사항이 있으시면 언제든지 연락 주시기 바랍니다.  
불편을 드려 죄송합니다."
SCB-P001,Public chat SFT,교육활동,단순,안내,공개수업 시간 재안내,추가확인,안내,0,1,1,212,237,25,2,0.044444444444444446,0,0.0,0,0.052631578947368474,0.1707317073170732,0.11810012836970474,민원인의,"1. 공개수업 시간이 안내장마다 다르다는 불편함을 호소하며, 최종 공개수업은 10월 14일 10시에 2층 도서실에서 진행된다. 2. 추가확인 3. 공개수업 시간과 장소 4. 공개수업은 10월 14일 10시에 2층 도서실에서 진행되며, 9시 50분부터 입장이 가능하다. 5. 민원인에게 공개수업의 최종 시간과 장소를 안내하고, 9시 50분부터 입장할 수 있다는 점을 확인해 주었다.","1. 공개수업 시간이 안내장마다 다르다는 불편함을 호소하며, 최종 공개수업은 10월 14일 10시, 2층 도서실에서 진행된다. 2. 안내 3. 공개수업 시간과 장소 4. 최종 공개수업은 10월 14일 10시, 2층 도서실에서 진행되며, 민원인의 불편함을 최소화하기 위해 최종 공지가 배포되었다. 5. 민원인의 불편함을 최소화하기 위해 최종 공개수업은 10월 14일 10시, 2층 도서실에서 진행되며, 최종 공지가 배포되었다."
SCB-P002,Base,교육활동,복합,안내,현장체험 참가 선택과 대체수업,추가확인,추가확인,0,0,0,441,402,-39,5,0.07042253521126761,0,0.0,0,0.0,0.0,0.0,방법을 | 민원인의 | 학부모님 | 바랍니다,"1. 핵심 요약: 체험학습 참가 여부는 선택사항이며, 미참가 시 대체수업이 제공되나 참가비는 납부하지 않음. 현재 보호자는 참가비를 내지 않았음.  
2. 1차 처리 방향: 추가확인. 미참가 시 수업 내용 및 비용 관련 정보가 부족하여 정확한 안내가 필요.  
3. 확인할 사항: 미참가 시 제공되는 대체수업의 내용과, 체험학습 참가비의 금액 및 납부 기한.  
4. 처리 계획: 대체수업 내용 및 참가비 관련 정보를 확인 후, 보호자에게 안내할 예정. 개인정보는 해당 학생의 수업 내역 및 비용 기준을 기반으로 처리.  
5. 회신 초안: 체험학습 참가 여부는 선택사항으로, 미참가 시 학교 도서실에서 대체수업을 수강할 수 있으며, 참가비는 납부하지 않으셔도 됩니다. 다만, 대체수업의 구체적인 내용과 참가비 금액에 대해 확인이 필요합니다. 이에 대해 자세한 정보를 제공해 드리겠습니다.","1. 핵심 요약: 체험학습 참여 여부는 선택사항이며, 미참가자는 대체수업에 출석하고 참가비는 납부하지 않음. 보호자는 아직 참가비를 내지 않았음.  
2. 1차 처리 방향: 추가확인  
3. 확인할 사항: 체험학습 미참가 시 대체수업의 구체적인 내용과 일정, 참가비 납부 일정 및 방법  
4. 처리 계획: 우선 체험학습 미참가 시 대체수업의 내용과 일정을 확인하고, 참가비 납부 일정 및 방법을 안내. 개인정보는 민원인의 요청에 따라 제출 가능.  
5. 회신 초안: 학부모님, 체험학습 참여 여부는 선택사항으로, 미참가 시 학교 도서실 대체수업에 출석하시면 됩니다. 참가비는 미납하신 것으로 확인되어, 납부 일정 및 방법을 안내드릴 수 있도록 확인하겠습니다. 궁금한 사항이 있으시면 언제든지 문의해 주시기 바랍니다."
SCB-P002,Public chat SFT,교육활동,복합,안내,현장체험 참가 선택과 대체수업,추가확인,안내,0,1,1,351,297,-54,2,0.03636363636363636,0,0.0,0,0.18644067796610164,0.17647058823529416,-0.009970089730807485,학교의,"1. 체험학습 참가 여부는 선택이며, 미참가 시 수업과 비용에 대해 문의했다. 보호자는 아직 참가비를 내지 않았다.
2. 추가확인
3. 체험학습 참가비, 미참가 시 수업 내용, 대체수업에 대한 정보
4. 체험학습 참가비는 학교 규정에 따라 결정되며, 미참가 시 학교 도서실 대체수업에 출석해야 한다. 보호자는 참가비를 내지 않았으므로, 학교 담당자와 연락하여 정확한 정보를 확인할 예정이다.
5. 민원인의 문의에 대해 학교 규정에 따라 체험학습 참가비는 학교 규정에 따라 결정되며, 미참가 시 학교 도서실 대체수업에 출석해야 한다. 보호자는 아직 참가비를 내지 않았으므로, 학교 담당자와 연락하여 정확한 정보를 확인할 예정이다.","1. 체험학습 참가 여부는 학생이 선택할 수 있으며, 미참가 시 수업과 비용에 대한 정보를 요청한다. 2. 담당자 연계 3. 학생의 미참가 시 수업과 비용에 대한 정확한 정보를 확인할 필요가 있다. 4. 학교의 담당자와 연락하여 학생의 미참가 시 수업과 비용에 대한 정확한 정보를 확인하고, 학생에게 안내할 것이다. 5. 민원인은 체험학습 참가 여부에 대해 궁금해하며, 미참가 시 수업과 비용에 대한 정보를 요청하고 있다. 학교의 담당자와 연락하여 학생의 미참가 시 수업과 비용에 대한 정확한 정보를 확인하고, 학생에게 안내하겠다."
SCB-P003,Base,교육활동,단순,추가확인,과제량 증가 주장,추가확인,추가확인,1,1,0,494,542,48,6,0.05825242718446602,0,0.0,0,0.022471910112359605,0.030303030303030276,0.00783112019067067,보호자가 | 보호자와 | 말씀해 | 내용은 | 등이 | 보겠습니다,"1. 핵심 요약: 아이가 매일 밤 늦게까지 숙제로 인해 수면 시간이 부족하다는 주장. 그러나 과제 내용, 소요 시간, 문제 시작 시점 등 구체적 정보는 제공되지 않았다.  
2. 1차 처리 방향: 추가확인  
3. 확인할 사항: 아이의 일일 숙제 내용, 소요 시간, 최근 수면 시간, 과제가 과도한지 판단할 수 있는 근거  
4. 처리 계획: 우선으로 아이의 숙제 부담 여부를 확인하기 위해 담당 교사와 연계하여 상황을 파악하고, 필요 시 교육지원팀과 협의하여 적절한 조치를 검토할 예정. 개인정보는 관련 담당자만 접근 가능하도록 보호할 예정.  
5. 회신 초안:  
보호자님, 아이가 숙제로 인해 수면 시간이 부족하다는 걱정을 전해 주셔서 감사합니다. 현재까지의 상황을 정확히 파악하기 위해 아이의 일일 숙제 내용과 소요 시간, 최근 수면 시간 등 구체적인 정보를 확인해 주시면 감사하겠습니다. 확인 후 담당 교사와 협의하여 적절한 조치를 검토하겠습니다. 불편을 드려 죄송합니다.","1. 핵심 요약: 보호자가 아이의 숙제량 증가로 인해 밤 늦게까지 공부하고 있다고 주장하며, 즉각적인 조치를 요청함. 그러나 확인된 내용에는 과제 내용, 소요 시간, 시작 시점 등 구체적 정보가 없음.  
2. 1차 처리 방향: 추가확인  
3. 확인할 사항: 아이의 과제 내용, 소요 시간, 문제가 시작된 시점, 그리고 현재 수면 패턴 등 구체적인 상황을 확인해야 함.  
4. 처리 계획: 우선적으로 보호자와의 대화를 통해 상세한 상황을 파악하고, 학교 내 교사와 협력하여 아이의 학습 부담을 점검할 계획임. 개인정보는 보호자와 담당 교사만이 접근 가능하도록 관리할 예정임.  
5. 회신 초안:  
보호자님, 아이의 숙제량 증가로 인해 밤 늦게까지 공부하고 있다고 말씀해 주셔서 감사드립니다. 현재까지 확인된 내용은 구체적인 과제 내용이나 소요 시간 등이 없어, 좀 더 상세한 상황을 파악해 보고자 합니다. 아이의 수면 패턴과 과제 내용, 문제가 시작된 시점을 알려주시면, 담당 교사와 함께 학습 부담을 점검해 보겠습니다. 보호자님의 말씀에 신속히 대응하겠습니다."
SCB-P003,Public chat SFT,교육활동,단순,추가확인,과제량 증가 주장,추가확인,추가확인,1,1,0,228,432,204,18,0.1956521739130435,10,0.1111111111111111,5,0.1875,0.31818181818181823,0.13068181818181823,위한 | 있는지 | 장과 | 교원은 | 생활지도를 | 건강한 | 성장과 | 발달을 | 민원인의,"1. 학생이 과제로 인해 밤 늦게까지 공부하고 있다. 즉각적 안전 위험이나 문제 시작 시점은 확인되지 않았다.
2. 추가확인
3. 학생의 과제 내용과 소요 시간, 문제 시작 시점
4. 학생의 과제 내용과 소요 시간을 확인하고, 학교의 과제 정책을 재검토하여 학생의 학습 부담을 줄일 계획이다.
5. 학교는 학생의 과제 내용과 소요 시간을 확인하고, 학교의 과제 정책을 재검토하여 학생의 학습 부담을 줄이겠다.","1. 학생이 과제로 인해 밤 늦게까지 공부하고 있다. 학교는 학생의 과제량을 줄여야 한다는 요구이다.
2. 추가확인
3. 학생의 과제량이 과도한지, 과제량을 줄이기 위한 학교의 정책이 있는지, 학교의 과제량 조정 기준이 있는지
4. 학교는 학생의 과제량을 줄이기 위해 학교 내부 규정을 검토하고, 학생의 학습 부담을 줄이기 위한 대안을 모색할 것이다. 학교의 장과 교원은 학생의 학습 부담을 줄이기 위해 학생과 상담하고, 학교의 생활지도를 통해 학생의 건강한 성장과 발달을 지원할 것이다.
5. 민원인의 요청에 대해 학교는 학생의 과제량을 줄이기 위해 학교 내부 규정을 검토하고, 학생의 학습 부담을 줄이기 위한 대안을 모색할 것이다. 학교의 장과 교원은 학생의 학습 부담을 줄이기 위해 학생과 상담하고, 학교의 생활지도를 통해 학생의 건강한 성장과 발달을 지원할 것이다."
SCB-P004,Base,교육활동,복합,추가확인,준비물 구매와 평가 반영 우려,추가확인,추가확인,1,1,0,345,431,86,3,0.038461538461538464,0,0.0,0,0.0,0.05405405405405406,0.05405405405405406,개인정보는 | 따라 | 필요합니다,"1. 핵심 요약: 아이가 준비물 구매를 못 해 점수 깎인다고 들었으며, 현재 감점 기록은 확인되지 않았다.  
2. 1차 처리 방향: 추가확인  
3. 확인할 사항: 준비물 구매 여부, 감점 여부, 관련 수업명 및 평가 기준  
4. 처리 계획: 준비물 구매 여부와 감점 여부를 확인한 후, 관련 수업 담당자와 연계해 상황을 설명하고, 필요한 경우 추가 안내를 제공할 예정이다.  
5. 회신 초안:  
민원인님, 안녕하세요. 준비물 구매 여부와 감점 여부에 대해 확인해 드릴 수 있도록 부탁드립니다. 관련 수업 내용과 평가 기준이 궁금하시다면, 담당 교사와 연계해 자세히 안내드리겠습니다. 양해해 주셔서 감사합니다.","1. 핵심 요약: 아이가 준비물 구매를 못 해 점수 깎였다고 들었지만, 현재 감점 기록은 확인되지 않았다. 준비물 구매 여부와 평가 기준에 대한 구체적 정보가 부족하다.  
2. 1차 처리 방향: 추가확인  
3. 확인할 사항: 준비물 구매 여부와 해당 수업의 평가 기준, 점수 깎인 사유 및 기준을 확인해야 한다.  
4. 처리 계획: 우선 준비물 구매 여부와 평가 기준을 확인하고, 해당 담당 교사와 연계해 상황을 설명하고, 필요한 경우 추가 조치를 검토할 예정이다. 개인정보는 관련 규정에 따라 보호하여 처리할 예정이다.  
5. 회신 초안:  
보호자님, 민원 접수 되었습니다. 준비물 구매 여부와 해당 수업의 평가 기준, 점수 깎인 사유에 대해 확인이 필요합니다. 관련 내용을 확인한 후, 담당 교사와 상담하여 상황을 안내드리겠습니다. 양해해 주셔서 감사합니다."
SCB-P004,Public chat SFT,교육활동,복합,추가확인,준비물 구매와 평가 반영 우려,추가확인,추가확인,1,1,0,313,332,19,2,0.029411764705882353,0,0.0,0,0.19047619047619047,0.171875,-0.018601190476190466,학생의,"1. 학생이 준비물을 구매하지 못한 상황에서 점수 깎임에 대한 우려가 있다. 현재 준비물 품목과 평가 기준에 대한 구체적인 정보는 확인되지 않았다.
2. 추가확인
3. 준비물 품목, 수업명, 평가 기준, 대여 여부, 감점 기록 여부
4. 준비물 품목과 수업명을 확인하고, 평가 기준과 대여 여부를 확인한 후, 감점 기록을 확인할 것이다. 확인된 내용을 바탕으로 학교에서 학생에게 안내할 예정이다.
5. 학교에서 준비물 품목과 수업명을 확인하고, 평가 기준과 대여 여부를 확인한 후, 감점 기록을 확인할 것이다. 확인된 내용을 바탕으로 학생에게 안내할 예정이다.","1. 학생이 준비물 구매를 못 했는데 점수도 깎인다고 들었다. 현재 확인된 감점 기록은 없다.
2. 추가확인
3. 준비물 구매 미이행 사유, 점수 깎임에 대한 구체적인 사유, 해당 수업의 평가 기준
4. 준비물 구매 미이행 사유를 확인하고, 해당 수업의 평가 기준을 확인한 후 학교장에게 보고하여 학생의 점수에 대한 최종 판단을 내린다.
5. 민원인은 학생이 준비물 구매를 못 했는데 점수도 깎인다고 들었다. 학교에서는 준비물 구매 미이행 사유와 점수 깎임에 대한 구체적인 사유를 확인하고, 해당 수업의 평가 기준을 확인한 후 학교장에게 보고하여 학생의 점수에 대한 최종 판단을 내릴 예정이다."
SCB-P005,Base,교육활동,단순,담당자연계,수업 참여 배제 조정 요청,추가확인,추가확인,0,0,0,415,432,17,7,0.08860759493670886,0,0.0,0,0.014705882352941124,0.053333333333333344,0.03862745098039222,수업 | 있는지 | 안녕하세요 | 민원 | 따라 | 바랍니다,"1. 핵심 요약: 휠체어 사용 학생이 다음 주 실험수업 장소에 접근이 어려운 상황이며, 해당 실험실의 접근성 문제가 확인되었다.  
2. 1차 처리 방향: 추가확인  
3. 확인할 사항: 실험수업의 대체 장소 여부, 교육활동 담당자의 확인 여부, 접근 지원 가능한 대안  
4. 처리 계획: 우선 교육활동 담당자와 연계하여 대체 장소 및 접근 지원 방안을 확인하고, 필요한 경우 즉시 조치할 예정이며, 개인정보는 관련 담당자만 접근 가능하다.  
5. 회신 초안: 휠체어를 사용하시는 아이가 실험수업에 참여하시기 위해 필요한 지원이 필요하다는 말씀을 전달받았습니다. 현재 실험실의 접근성 문제가 확인되었으므로, 교육활동 담당자와 협의하여 대체 장소 및 접근 지원 방안을 검토하겠습니다. 확인 후 즉시 안내드리겠습니다. 불편을 드려 죄송합니다.","1. 핵심 요약: 휠체어 사용 학생이 실험실 접근이 어려워 수업 참여가 불가능하다고 요청하며, 해당 실험실의 접근성 문제가 확인되었다.  
2. 1차 처리 방향: 추가확인  
3. 확인할 사항: 실험수업의 대체 장소나 접근 지원 방안이 있는지, 학교 교육활동 담당자와의 협의 가능 여부  
4. 처리 계획: 우선적으로 교육활동 담당자와 협의하여 대체 장소나 접근 지원 방안을 조사하고, 필요한 경우 개인정보를 바탕으로 지원 조치를 마련할 예정이다.  
5. 회신 초안:  
""안녕하세요. 민원 내용을 확인하였습니다. 휠체어 사용 학생의 실험수업 참여에 대한 요청을 받았으며, 현재 실험실의 접근성 문제가 확인되었습니다. 이에 따라 교육활동 담당자와 협의하여 대체 장소나 접근 지원 방안을 조사하겠습니다. 확인된 내용에 따라 신속히 조치하겠습니다. 양해해 주시기 바랍니다."""
SCB-P005,Public chat SFT,교육활동,단순,담당자연계,수업 참여 배제 조정 요청,추가확인,추가확인,0,0,0,273,353,80,0,0.0,0,0.0,0,0.0,0.08955223880597019,0.08955223880597019,,"1. 휠체어를 이용하는 학생이 실험수업 장소에 참여할 수 없어 학교의 접근 지원을 요청했다. 실험실은 계단으로만 연결되어 있어 접근성이 부족한 상황이다.
2. 추가확인
3. 실험실의 접근성 문제와 학생의 수업 참여 가능성에 대한 구체적인 사항을 확인해야 한다.
4. 교육활동 담당자와 관리자와 협의하여 실험실 접근성 개선과 학생 수업 참여를 위한 대안을 모색할 계획이다.
5. 휠체어를 이용하는 학생의 수업 참여를 위해 실험실 접근성 문제를 교육활동 담당자와 관리자와 협의하여 해결하겠다.","1. 휠체어 사용 학생의 실험수업 참여를 요청한 민원인은 실험실의 접근성 문제를 지적했다. 학교는 실험실의 물리적 접근성에 대한 확인과 학생의 수업 참여 가능성에 대해 검토하고 있다.
2. 추가확인
3. 실험실의 접근성 문제와 학생의 수업 참여 가능성에 대한 구체적인 사항
4. 학교 교육활동 담당자와 관리자가 실험실의 접근성을 재검토하고, 학생의 수업 참여를 위한 대안을 모색할 것이다. 학생의 개인정보는 최소한으로 제한하고, 필요한 경우 보호자와의 협의를 통해 접근 지원 방안을 마련할 것이다.
5. 휠체어 사용 학생의 실험수업 참여를 위해 학교는 실험실의 접근성을 재검토하고, 학생의 수업 참여를 위한 대안을 모색할 예정이다."
