item_id,domain,title,rank,chunk_id,source,locator,retrieval_score,relevance_score,relevance_label,misleading_potential,audit_rationale,audit_provenance,chunk_text_sha256
SCB-P001,교육활동,공개수업 시간 재안내,1,MOE_SCM_2026_P046_C02,학교민원 처리 매뉴얼,PDF page 46,0.0430804007,1,관련·일반,0,민원 응대와 담당 연결 일반론으로 시간·장소의 직접 근거는 아님,v0.10.0 나머지 24문항 신규 감사,0ad38bf66581646af89cd703b0cf6363842868749c531f89df3c7beb87fea8e0
SCB-P001,교육활동,공개수업 시간 재안내,2,MOE_SCM_2026_P047_C02,학교민원 처리 매뉴얼,PDF page 47,0.0425348894,1,관련·일반,0,담당자 연결 표현만 간접적으로 관련됨,v0.10.0 나머지 24문항 신규 감사,3ada6d3f4929501999ef003cd54356cd47bcb6a755f1d8355a6532f4157707c5
SCB-P001,교육활동,공개수업 시간 재안내,3,MOE_GUIDANCE_2026_DOC_C07,교원의 학생생활지도에 관한 고시,document 1,0.023327041,0,무관,1,학생 상담·비공개 규정으로 공개수업 일정 안내와 무관함,v0.10.0 나머지 24문항 신규 감사,35be04e289cf42cd3feebacfda1271ae491b9ca68cf45ae6717b0b7f76240e46
SCB-P001,교육활동,공개수업 시간 재안내,4,MOE_GUIDANCE_2026_DOC_C04,교원의 학생생활지도에 관한 고시,document 1,0.0156194669,0,무관,1,학생 생활지도 책무로 일정 혼선을 설명할 수 없음,v0.10.0 나머지 24문항 신규 감사,0ec23de2914e72c0aecde734fc8b49e7b0c932c17b7b520d20ccb9760f1847c1
SCB-P002,교육활동,현장체험 참가 선택과 대체수업,1,MOE_SCM_2026_P047_C01,학교민원 처리 매뉴얼,PDF page 47,0.0616663023,1,관련·일반,0,전화 민원 응대 일반론으로 체험학습 일정·비용에 직접 답하지 못함,v0.9.0 선정 24문항 감사 승계,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P002,교육활동,현장체험 참가 선택과 대체수업,2,MOE_SCM_2026_P052_C01,학교민원 처리 매뉴얼,PDF page 52,0.05099072,0,무관,1,상급자 통화 요구 절차로 이 사례의 요구와 다름,v0.9.0 선정 24문항 감사 승계,19ace45d11133999851ad4f755725e2242bb93618c2617bddbc3386e7359267c
SCB-P002,교육활동,현장체험 참가 선택과 대체수업,3,MOE_GUIDANCE_2026_DOC_C12,교원의 학생생활지도에 관한 고시,document 1,0.0300467682,0,무관,1,생활지도·훈계 규정으로 체험학습 선택과 무관함,v0.9.0 선정 24문항 감사 승계,e372fc9ac8720bd3dd881101d04a46484a6d36c602d135956dc8959307897780
SCB-P002,교육활동,현장체험 참가 선택과 대체수업,4,MOE_SAFETY_2025_2027_DOC_C37,제4차 학교안전사고 예방 기본계획(2025~2027),document 1,0.0215814543,0,무관,0,학교안전 보상 통계로 일정·대체수업과 무관함,v0.9.0 선정 24문항 감사 승계,ae2892bfc57107e1c8eae4f12118eb037aa3ffee6bda8ca142dd4ee78148ded2
SCB-P003,교육활동,과제량 증가 주장,1,MOE_SCM_2026_P050_C01,학교민원 처리 매뉴얼,PDF page 50,0.0443293336,0,무관,1,폭언·장시간 통화 대응으로 과제 부담 확인과 무관함,v0.10.0 나머지 24문항 신규 감사,2e46f4a467f018dfadf4169f907fd3e6ad3f894b9a5398f4f8b437d953da2f55
SCB-P003,교육활동,과제량 증가 주장,2,MOE_SCM_2026_P047_C01,학교민원 처리 매뉴얼,PDF page 47,0.0345444159,1,관련·일반,0,민원 사실 파악 일반 절차로 간접 관련됨,v0.10.0 나머지 24문항 신규 감사,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
