item_id,split,title,should_provide_context,v2_pred_context,v2_num_context,v2_top1_rerank_score,v2_returned_chunk_ids,v2_hit_at_4,v2_mrr,v2_precision_at_4,v1_hit_at_4,v1_mrr,v1_precision_at_4
SCB-P001,dev,공개수업 시간 재안내,0,0,0,0.010652510839726164,,,,,,,
SCB-P002,test,현장체험 참가 선택과 대체수업,0,0,0,0.020844315616518973,,,,,,,
SCB-P003,dev,과제량 증가 주장,0,0,0,0.04577727258077672,,,,,,,
SCB-P004,test,준비물 구매와 평가 반영 우려,0,0,0,0.01243165085318582,,,,,,,
SCB-P005,dev,수업 참여 배제 조정 요청,0,0,0,0.08977328657120891,,,,,,,
SCB-P006,test,수업 중 모욕 주장과 공개 사과 요구,0,1,4,0.5516643084087935,MOE_VIOLENCE_2026_P064_C01;MOE_VIOLENCE_2026_P062_C03;MOE_SCM_2026_P022_C01;MOE_VIOLENCE_2026_P065_C01,,,,,,
SCB-P007,test,답안 확인 일정,0,0,0,0.010013570623173138,,,,,,,
SCB-P008,dev,결석계 제출과 출결 확인 시점,0,0,0,0.02017731832286999,,,,,,,
SCB-P009,dev,점수 입력 오류 의심,0,0,0,0.004645557549716042,,,,,,,
SCB-P010,test,보충평가와 출결의 혼동,1,0,0,0.037186775160240146,,0,0.0,0.0,1,0.5,0.25
SCB-P011,dev,확인된 성적 오기 정정,0,0,0,0.0027469009484408103,,,,,,,
SCB-P012,test,평가기준 이의와 타 학생 답안 요구,1,0,0,0.011508149064303403,,0,0.0,0.0,1,0.5,0.25
SCB-P013,test,교내 휴대전화 보관 안내,0,0,0,0.012007350547633841,,,,,,,
SCB-P014,dev,분실물 보관과 물병 세척,0,0,0,0.05271640213673081,,,,,,,
SCB-P015,dev,쉬는 시간 말다툼 상담,0,1,4,0.6744794522230694,MOE_VIOLENCE_2026_P063_C01;MOE_VIOLENCE_2026_P064_C02;MOE_VIOLENCE_2026_P061_C02;MOE_VIOLENCE_2026_P065_C02,,,,,,
SCB-P016,test,자리 배치와 반복 소외 우려,1,0,0,0.015967653488796016,,0,0.0,0.0,0,0.0,0.0
SCB-P017,test,오늘 발생한 폭행 위협,0,1,4,0.24328269433676913,MOE_VIOLENCE_2026_P065_C02;MOE_VIOLENCE_2026_P031_C03;MOE_VIOLENCE_2026_P033_C04;MOE_VIOLENCE_2026_P029_C03,,,,,,
SCB-P018,dev,반복 금품 요구와 대질 요구,1,1,1,0.17866909363203173,MOE_VIOLENCE_2026_P060_C01,0,0.0,0.0,1,1.0,0.25
SCB-P019,test,변경된 급식 메뉴,0,1,1,0.1431877021825763,MOE_MEAL_2021_P181_C02,,,,,,
SCB-P020,dev,식단표와 건의 경로,0,1,1,0.19436781101874467,MOE_MEAL_2021_P179_C04,,,,,,
SCB-P021,test,급식 후 일회성 불편 신고,0,1,3,0.2163424809496068,MOE_VIOLENCE_2026_P063_C03;MOE_MEAL_2021_P230_C01;MOE_MEAL_2021_P152_C02,,,,,,
SCB-P022,dev,보건실 방문 안내 누락과 귀가 시간,0,1,1,0.31795547296854265,MOE_VIOLENCE_2026_P063_C03,,,,,,
SCB-P023,dev,급식 중 호흡 곤란 보고,0,1,3,0.19375686554382182,MOE_HEALTH_2026_P135_C02;MOE_HEALTH_2026_P095_C02;MOE_MEAL_2021_P127_C02,,,,,,
SCB-P024,test,식이 지원 누락과 진단 공개 요구,1,0,0,0.006192990157855187,,0,0.0,0.0,0,0.0,0.0
SCB-P025,test,임시 통학문 위치,0,0,0,0.009303949868393646,,,,,,,
SCB-P026,dev,운동장 개방과 주차 제한,0,0,0,0.0020829707830458,,,,,,,
SCB-P027,test,교실 소음 위치 불명,0,1,1,0.1902722424928622,MOE_HEALTH_2026_P073_C03,,,,,,
SCB-P028,dev,통학버스 지연과 안내 불일치,0,0,0,0.004485794577039704,,,,,,,
SCB-P029,dev,교내 노출 전선 신고,0,0,0,0.05271640213673081,,,,,,,
SCB-P030,test,공사 낙하물과 즉시 개방 요구,0,0,0,0.008061991528271641,,,,,,,
SCB-P031,dev,돌봄 신청 접수 확인,0,0,0,0.002704429369409325,,,,,,,
SCB-P032,test,방과후 휴강과 보강 일정,0,0,0,0.0162774609127135,,,,,,,
SCB-P033,test,돌봄 선정 결과 미확인,1,0,0,0.05592617368530503,,0,0.0,0.0,0,0.0,0.0
SCB-P034,dev,방과후 수강 취소와 환불액,1,0,0,0.036631366639620536,,0,0.0,0.0,0,0.0,0.0
SCB-P035,dev,등록되지 않은 귀가 인계자,0,0,0,0.09235979794788486,,,,,,,
SCB-P036,test,돌봄 인계 기록 불일치와 CCTV 요구,1,0,0,0.02224366758387693,,0,0.0,0.0,0,0.0,0.0
SCB-P037,test,공개 교육계획 찾기,0,0,0,0.012100385813544712,,,,,,,
SCB-P038,dev,사진 게시 동의의 선택 범위,0,0,0,0.04023794262361602,,,,,,,
SCB-P039,dev,잘못 표시된 학생 정보,0,0,0,0.005220125693558397,,,,,,,
SCB-P040,test,동의 철회와 앱 알림 구분,1,1,1,0.29716390809702026,SEN_PRIVACY_2026_P083_C03,0,0.0,0.0,0,0.0,0.0
SCB-P041,test,공개 게시판 성적표 노출,1,1,1,0.14767805970416117,STAR_RECORD_2026_P123_C03,0,0.0,0.0,0,0.0,0.0
SCB-P042,dev,기록 열람 요청자의 권한 분쟁,1,1,1,0.2260993940477108,MOE_VIOLENCE_2026_P061_C03,0,0.0,0.0,0,0.0,0.0
SCB-P043,dev,민원 접수 완료 여부,0,0,0,0.032405517498642296,,,,,,,
SCB-P044,test,상담 예약과 녹취 문의,0,1,4,0.35868994620935485,MOE_SCM_2026_P033_C01;MOE_SCM_2026_P024_C03;MOE_SCM_2026_P025_C01;MOE_SCM_2026_P053_C01,,,,,,
SCB-P045,test,답변과 다른 민원 내용,0,0,0,0.013532148655407106,,,,,,,
SCB-P046,dev,여러 경로 접수와 처리 지연,0,0,0,0.011463797377996033,,,,,,,
SCB-P047,test,직원에 대한 당일 위해 예고,1,1,3,0.39606816627404173,MOE_SCM_2026_P056_C02;MOE_SCM_2026_P024_C01;MOE_SCM_2026_P055_C02,0,0.0,0.0,0,0.0,0.0
