item_id,query_sha256,rank,chunk_id,source_key,source_title,locator_type,locator,retrieval_score,chunk_text_sha256
SCB-P001,b79612298dae213e92de828c00ae503fc24d41ad1479f98e04e27c8ce47fb366,1,MOE_SCM_2026_P046_C02,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,46,0.0430804007,0ad38bf66581646af89cd703b0cf6363842868749c531f89df3c7beb87fea8e0
SCB-P001,b79612298dae213e92de828c00ae503fc24d41ad1479f98e04e27c8ce47fb366,2,MOE_SCM_2026_P047_C02,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0425348894,3ada6d3f4929501999ef003cd54356cd47bcb6a755f1d8355a6532f4157707c5
SCB-P001,b79612298dae213e92de828c00ae503fc24d41ad1479f98e04e27c8ce47fb366,3,MOE_GUIDANCE_2026_DOC_C07,MOE_GUIDANCE_2026,교원의 학생생활지도에 관한 고시,document,1,0.023327041,35be04e289cf42cd3feebacfda1271ae491b9ca68cf45ae6717b0b7f76240e46
SCB-P001,b79612298dae213e92de828c00ae503fc24d41ad1479f98e04e27c8ce47fb366,4,MOE_GUIDANCE_2026_DOC_C04,MOE_GUIDANCE_2026,교원의 학생생활지도에 관한 고시,document,1,0.0156194669,0ec23de2914e72c0aecde734fc8b49e7b0c932c17b7b520d20ccb9760f1847c1
SCB-P002,ffca0332bc96490dd77eee2fae32e56dcd1b07f108cac85d5601255f61e412d9,1,MOE_SCM_2026_P047_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0616663023,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P002,ffca0332bc96490dd77eee2fae32e56dcd1b07f108cac85d5601255f61e412d9,2,MOE_SCM_2026_P052_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,52,0.05099072,19ace45d11133999851ad4f755725e2242bb93618c2617bddbc3386e7359267c
SCB-P002,ffca0332bc96490dd77eee2fae32e56dcd1b07f108cac85d5601255f61e412d9,3,MOE_GUIDANCE_2026_DOC_C12,MOE_GUIDANCE_2026,교원의 학생생활지도에 관한 고시,document,1,0.0300467682,e372fc9ac8720bd3dd881101d04a46484a6d36c602d135956dc8959307897780
SCB-P002,ffca0332bc96490dd77eee2fae32e56dcd1b07f108cac85d5601255f61e412d9,4,MOE_SAFETY_2025_2027_DOC_C37,MOE_SAFETY_2025_2027,제4차 학교안전사고 예방 기본계획(2025~2027),document,1,0.0215814543,ae2892bfc57107e1c8eae4f12118eb037aa3ffee6bda8ca142dd4ee78148ded2
SCB-P003,3c7a55c2fb0e62f591edc4ff8a4bf181bccfb28cba31bcb0b9c85fe608b5c7a7,1,MOE_SCM_2026_P050_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,50,0.0443293336,2e46f4a467f018dfadf4169f907fd3e6ad3f894b9a5398f4f8b437d953da2f55
SCB-P003,3c7a55c2fb0e62f591edc4ff8a4bf181bccfb28cba31bcb0b9c85fe608b5c7a7,2,MOE_SCM_2026_P047_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0345444159,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P003,3c7a55c2fb0e62f591edc4ff8a4bf181bccfb28cba31bcb0b9c85fe608b5c7a7,3,MOE_GUIDANCE_2026_DOC_C07,MOE_GUIDANCE_2026,교원의 학생생활지도에 관한 고시,document,1,0.0199166374,35be04e289cf42cd3feebacfda1271ae491b9ca68cf45ae6717b0b7f76240e46
SCB-P003,3c7a55c2fb0e62f591edc4ff8a4bf181bccfb28cba31bcb0b9c85fe608b5c7a7,4,MOE_GUIDANCE_2026_DOC_C04,MOE_GUIDANCE_2026,교원의 학생생활지도에 관한 고시,document,1,0.0137404085,0ec23de2914e72c0aecde734fc8b49e7b0c932c17b7b520d20ccb9760f1847c1
